id,email,password_hash,name,role,is_active,is_verified,avatar_url,phone,address
019f3fc6-c5fa-77cf-af76-ed30daffb420,admin@greenmart.id,$2a$12$Z0HjJ.Zp6T0311NqM1VzUeqQ4B0M1/o/2D1T0.eSg4U78s.7K1Nue,GreenMart Admin,admin,true,true,https://images.unsplash.com/photo-1633332755192-727a05c4013d?w=200,+6281200000001,
019f3fc6-c8d7-7b0d-bbef-06f51d13cfef,budi.santoso@greenmart.id,$2a$12$Z0HjJ.Zp6T0311NqM1VzUeqQ4B0M1/o/2D1T0.eSg4U78s.7K1Nue,Budi Santoso,seller,true,true,https://images.unsplash.com/photo-1500648767791-00dcc994a43e?w=200,+6281200000010,
019f3fc6-cbb4-7656-a962-e30ea2a12dbc,siti.aminah@greenmart.id,$2a$12$Z0HjJ.Zp6T0311NqM1VzUeqQ4B0M1/o/2D1T0.eSg4U78s.7K1Nue,Siti Aminah,seller,true,true,https://images.unsplash.com/photo-1500648767791-00dcc994a43e?w=200,+6281200000011,
019f3fc6-ce91-7724-9274-252aaa8bdb23,agus.wijaya@greenmart.id,$2a$12$Z0HjJ.Zp6T0311NqM1VzUeqQ4B0M1/o/2D1T0.eSg4U78s.7K1Nue,Agus Wijaya,seller,true,true,https://images.unsplash.com/photo-1500648767791-00dcc994a43e?w=200,+6281200000012,
019f3fc6-d16e-756b-b1c1-8b07a46f15c4,dewi.lestari@greenmart.id,$2a$12$Z0HjJ.Zp6T0311NqM1VzUeqQ4B0M1/o/2D1T0.eSg4U78s.7K1Nue,Dewi Lestari,seller,true,true,https://images.unsplash.com/photo-1500648767791-00dcc994a43e?w=200,+6281200000013,
019f3fc6-d44b-7f4d-81d7-d8664c33b167,made.wirawan@greenmart.id,$2a$12$Z0HjJ.Zp6T0311NqM1VzUeqQ4B0M1/o/2D1T0.eSg4U78s.7K1Nue,Made Wirawan,seller,true,true,https://images.unsplash.com/photo-1500648767791-00dcc994a43e?w=200,+6281200000014,
019f3fc6-d728-77fc-957e-8b43e30578f5,joko.prasetyo@greenmart.id,$2a$12$Z0HjJ.Zp6T0311NqM1VzUeqQ4B0M1/o/2D1T0.eSg4U78s.7K1Nue,Joko Prasetyo,seller,true,true,https://images.unsplash.com/photo-1500648767791-00dcc994a43e?w=200,+6281200000015,
019f3fc6-da05-7bb0-8910-141c407d2240,rina.marlina@example.com,$2a$12$Z0HjJ.Zp6T0311NqM1VzUeqQ4B0M1/o/2D1T0.eSg4U78s.7K1Nue,Rina Marlina,buyer,true,true,,+6281300000001,"{""address"": ""Jl. Sudirman No. 1"", ""city"": ""Jakarta"", ""postal_code"": ""10110""}"
019f3fc6-dce2-74f6-81e2-073ed9ac6f89,andi.saputra@example.com,$2a$12$Z0HjJ.Zp6T0311NqM1VzUeqQ4B0M1/o/2D1T0.eSg4U78s.7K1Nue,Andi Saputra,buyer,true,true,,+6281300000002,"{""address"": ""Jl. Malioboro No. 25"", ""city"": ""Yogyakarta"", ""postal_code"": ""55271""}"
019f3fc6-dfbf-7ae5-b7eb-569718e27a5d,maya.sari@example.com,$2a$12$Z0HjJ.Zp6T0311NqM1VzUeqQ4B0M1/o/2D1T0.eSg4U78s.7K1Nue,Maya Sari,buyer,true,true,,+6281300000003,"{""address"": ""Jl. Diponegoro No. 8"", ""city"": ""Bandung"", ""postal_code"": ""40115""}"
019f3fc6-e29c-7ead-9c24-538ea7f40175,fajar.nugroho@example.com,$2a$12$Z0HjJ.Zp6T0311NqM1VzUeqQ4B0M1/o/2D1T0.eSg4U78s.7K1Nue,Fajar Nugroho,buyer,true,false,,+6281300000004,"{""address"": ""Jl. Ahmad Yani No. 45"", ""city"": ""Surabaya"", ""postal_code"": ""60234""}"
019f3fc6-e579-72ab-a1bc-4cd9f75cc4ab,lina.kartika@example.com,$2a$12$Z0HjJ.Zp6T0311NqM1VzUeqQ4B0M1/o/2D1T0.eSg4U78s.7K1Nue,Lina Kartika,buyer,true,true,,+6281300000005,"{""address"": ""Jl. Gatot Subroto No. 12"", ""city"": ""Semarang"", ""postal_code"": ""50241""}"
019f3fc6-e856-7853-9f2a-ee64b91bbb1c,bayu.pratama@example.com,$2a$12$Z0HjJ.Zp6T0311NqM1VzUeqQ4B0M1/o/2D1T0.eSg4U78s.7K1Nue,Bayu Pratama,buyer,false,true,,+6281300000006,"{""address"": ""Jl. Pahlawan No. 3"", ""city"": ""Medan"", ""postal_code"": ""20112""}"
019f3fc6-eb33-7f8e-b93f-9963d0b441a0,nadia.putri@example.com,$2a$12$Z0HjJ.Zp6T0311NqM1VzUeqQ4B0M1/o/2D1T0.eSg4U78s.7K1Nue,Nadia Putri,buyer,true,true,,+6281300000007,"{""address"": ""Jl. Veteran No. 17"", ""city"": ""Malang"", ""postal_code"": ""65112""}"
019f3fc6-ee10-7878-b7ac-458c26365f5f,reza.firmansyah@example.com,$2a$12$Z0HjJ.Zp6T0311NqM1VzUeqQ4B0M1/o/2D1T0.eSg4U78s.7K1Nue,Reza Firmansyah,buyer,true,true,,+6281300000008,"{""address"": ""Jl. Cendrawasih No. 9"", ""city"": ""Denpasar"", ""postal_code"": ""80113""}"
